0, Altura: 260, Velocidade: 100, Pressão: 254
0,02, Altura: 390, Velocidade: 200, Pressão: 254
0,3533334, Altura: 520, Velocidade: 300, Pressão: 254
0,3651924, Altura: 650, Velocidade: 400, Pressão: 254
0,5566335, Altura: 780, Velocidade: 501, Pressão: 254
0,8899669, Altura: 910, Velocidade: 601, Pressão: 254
1,2233, Altura: 1040, Velocidade: 701, Pressão: 254
1,556634, Altura: 1170, Velocidade: 801, Pressão: 254
1,889967, Altura: 1300, Velocidade: 901, Pressão: 254
2,2233, Altura: 1430, Velocidade: 1001, Pressão: 254
2,556634, Altura: 1560, Velocidade: 1101, Pressão: 254
2,889967, Altura: 1690, Velocidade: 1201, Pressão: 254
3,2233, Altura: 1820, Velocidade: 1301, Pressão: 254
3,556634, Altura: 1950, Velocidade: 1402, Pressão: 254
3,889967, Altura: 2080, Velocidade: 1502, Pressão: 254
4,2233, Altura: 2210, Velocidade: 1602, Pressão: 254
4,556633, Altura: 2340, Velocidade: 1702, Pressão: 254
4,889967, Altura: 2470, Velocidade: 1802, Pressão: 254
5,2233, Altura: 2600, Velocidade: 1902, Pressão: 254
5,556633, Altura: 2730, Velocidade: 2002, Pressão: 254
5,889967, Altura: 2860, Velocidade: 2102, Pressão: 254
6,2233, Altura: 2990, Velocidade: 2202, Pressão: 254
6,556634, Altura: 3120, Velocidade: 2303, Pressão: 254
6,889967, Altura: 3250, Velocidade: 2403, Pressão: 254
7,2233, Altura: 3380, Velocidade: 2503, Pressão: 254
7,556634, Altura: 3510, Velocidade: 2603, Pressão: 254
7,889967, Altura: 3640, Velocidade: 2703, Pressão: 254
8,2233, Altura: 3770, Velocidade: 2803, Pressão: 254
8,556634, Altura: 3900, Velocidade: 2903, Pressão: 254
8,889967, Altura: 4030, Velocidade: 3003, Pressão: 254
9,223301, Altura: 4160, Velocidade: 3103, Pressão: 254
9,556634, Altura: 4290, Velocidade: 3204, Pressão: 254
9,889967, Altura: 4420, Velocidade: 3304, Pressão: 254
10,2233, Altura: 4550, Velocidade: 3404, Pressão: 254
10,55663, Altura: 4680, Velocidade: 3504, Pressão: 254
10,88997, Altura: 4810, Velocidade: 3604, Pressão: 254
